央视,#genre#
茶频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638729d8aca53/index.m3u8?m3u8_level=2
金鹰纪实,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4766929BESTVSMGSMG/index.m3u8?m3u8_level=2
快乐垂钓,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638729b6002c4/index.m3u8?m3u8_level=2
先锋乒羽,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638076a8f3bee/index.m3u8?m3u8_level=2
财富天下,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6387299de9c36/index.m3u8?m3u8_level=2
环球奇观,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380730852766/index.m3u8?m3u8_level=2
新动漫,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638076fddc06f/index.m3u8?m3u8_level=2
四海钓鱼,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63a43fd46549d/index.m3u8?m3u8_level=2
老故事,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638077e0360b8/index.m3u8?m3u8_level=2
欢笑剧场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000048BESTVSMGSMG/index.m3u8?m3u8_level=2
欢笑剧场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1367710BESTVSMGSMG/index.m3u8?m3u8_level=2
动漫秀场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1555886BESTVSMGSMG/index.m3u8?m3u8_level=2
都市剧场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1555881BESTVSMGSMG/index.m3u8?m3u8_level=2
乐游频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1368437BESTVSMGSMG/index.m3u8?m3u8_level=2
生活时尚,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1555893BESTVSMGSMG/index.m3u8?m3u8_level=2
游戏风云,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1555894BESTVSMGSMG/index.m3u8?m3u8_level=2
金色学堂,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4492970BESTVSMGSMG/index.m3u8?m3u8_level=2
法治天地,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4492967BESTVSMGSMG/index.m3u8?m3u8_level=2
东方财经,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6880079BESTVSMGSMG/index.m3u8?m3u8_level=2
睛彩青少,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000126BESTVSMGSMG/index.m3u8?m3u8_level=2
精彩广场舞,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000127BESTVSMGSMG/index.m3u8?m3u8_level=2
睛彩篮球,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000020000011529/index.m3u8?m3u8_level=2
睛彩竞技,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000020000011528/index.m3u8?m3u8_level=2
测试,#genre#
百视通1,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123222BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通2,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123223BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通3,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123224BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通4,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123225BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通5,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123226BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通6,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123227BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通7,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123228BESTVSMGSMG9/index.m3u8?m3u8_level=2
咪咕视频01,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008001/index.m3u8?m3u8_level=2
咪咕视频02,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008176/index.m3u8?m3u8_level=2
咪咕视频03,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008379/index.m3u8?m3u8_level=2
咪咕视频04,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000010129/index.m3u8?m3u8_level=2
咪咕视频05,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000028638/index.m3u8?m3u8_level=2
咪咕视频06,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000031494/index.m3u8?m3u8_level=2
咪咕视频07,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000020000011522/index.m3u8?m3u8_level=2
